age,duration,previous,y
48,243,0,no
34,67,0,no
57,422,0,no
31,741,0,no
33,176,0,no
47,140,0,no
44,70,0,no
36,114,0,no
42,634,0,no
32,361,0,no
59,193,0,no
35,124,0,no
33,280,2,yes
28,329,0,no
38,839,1,yes
50,124,1,no
30,98,0,no
31,87,0,no
57,1154,0,yes
19,110,3,no
43,2062,1,yes
37,126,0,no
58,203,0,no
36,297,0,no
40,125,0,no
41,228,0,no
24,359,0,no
57,92,0,no
28,98,0,no
30,393,0,no
40,241,0,no
27,282,1,no
36,319,0,no
42,493,0,no
31,85,0,no
45,391,0,no
33,111,0,no
41,161,1,no
35,66,1,no
47,139,0,no
42,101,0,no
57,38,0,no
53,933,0,no
37,140,0,no
27,131,2,no
43,109,0,no
59,82,0,no
41,38,0,no
48,207,0,no
32,82,0,no
41,53,0,no
34,121,1,yes
48,164,0,no
69,144,0,yes
36,81,0,no
30,209,0,no
44,324,0,no
37,697,0,no
42,81,0,no
35,63,0,no
44,408,0,no
71,120,0,no
31,284,0,no
57,1720,0,no
36,112,0,no
32,134,1,no
29,462,0,no
49,667,0,no
46,50,0,no
54,335,1,no
36,246,1,no
41,37,0,no
35,195,0,no
27,383,0,no
39,589,0,no
47,217,0,no
40,343,0,no
44,164,0,no
53,116,0,no
30,130,0,no
59,71,0,no
44,315,0,no
31,17,0,no
31,191,0,no
19,182,1,no
27,170,0,no
32,71,0,no
54,596,0,no
43,296,0,no
33,110,0,no
30,67,0,no
30,27,0,no
46,1288,0,no
47,138,0,no
78,203,1,no
46,199,2,no
54,250,0,no
68,201,0,yes
59,123,0,no
46,176,0,no
51,136,0,no
49,495,1,yes
44,77,0,no
28,393,0,no
36,149,0,no
46,121,0,no
40,85,0,no
54,171,1,no
50,752,0,no
36,23,1,no
53,429,0,no
26,75,0,no
51,76,0,no
37,82,0,no
35,17,0,no
32,14,0,no
31,105,0,no
36,92,0,no
28,523,0,no
42,92,0,no
52,211,4,yes
40,291,0,no
36,1022,0,yes
40,144,0,no
34,874,0,no
33,5,1,no
51,153,1,no
30,244,1,yes
43,52,0,no
56,225,1,no
32,316,0,no
31,291,0,no
31,426,2,yes
44,91,0,no
30,282,0,no
35,942,0,no
44,113,0,no
55,705,0,no
34,58,0,no
59,167,0,no
34,65,0,no
46,522,0,no
41,178,2,yes
50,100,0,no
35,246,0,no
28,113,0,no
37,56,0,no
54,36,0,no
35,146,0,no
36,445,0,no
30,67,0,no
53,372,0,no
29,88,0,no
46,379,0,no
43,681,0,no
38,294,0,no
57,183,0,no
45,398,0,no
51,668,0,yes
25,113,0,no
24,513,0,yes
50,64,0,no
31,170,0,no
32,349,0,no
53,133,0,no
35,405,0,no
52,85,0,no
32,84,1,no
37,108,0,no
29,350,1,no
41,608,0,no
53,115,0,no
55,196,0,no
53,313,0,no
27,137,2,no
35,34,0,no
41,204,0,no
57,77,0,no
30,369,0,no
34,128,0,no
37,72,0,no
57,72,0,no
40,81,0,no
50,60,0,no
54,653,0,yes
37,122,1,no
45,214,0,no
33,916,0,no
30,487,0,no
35,104,0,no
45,369,0,no
56,181,2,no
38,597,0,no
38,118,0,no
54,204,1,yes
40,192,0,no
30,29,0,no
36,58,0,no
30,361,1,no
28,482,0,no
36,643,0,no
34,514,0,no
31,319,1,no
34,103,0,no
21,250,0,no
35,121,0,yes
71,120,1,no
33,59,0,no
29,109,0,no
42,560,0,no
47,170,0,no
49,165,1,no
33,107,0,no
35,92,0,no
32,77,0,no
43,67,0,no
46,285,0,no
37,739,0,yes
37,149,0,no
34,112,0,no
37,101,0,no
32,361,0,no
35,212,2,no
30,280,0,no
33,152,0,no
28,87,0,no
28,94,0,no
33,273,0,no
56,151,0,no
34,376,0,yes
32,151,1,no
39,150,0,no
68,500,1,no
33,85,0,no
30,159,0,no
36,211,0,no
38,297,0,no
26,152,0,no
28,571,0,yes
41,457,0,no
42,419,1,no
41,726,0,no
39,249,0,no
36,67,0,no
31,77,0,no
31,346,0,no
52,235,0,no
50,356,0,no
47,239,0,no
60,595,1,yes
38,72,0,no
40,1028,0,yes
34,129,1,no
59,81,0,no
49,167,0,no
56,134,0,no
31,93,0,no
45,102,0,no
37,105,0,no
28,192,0,no
35,131,0,no
45,1721,0,yes
42,67,0,no
47,55,0,no
55,272,0,no
34,101,0,no
37,167,0,no
35,73,0,no
37,317,0,no
49,177,0,no
45,192,0,no
32,205,1,no
36,148,0,no
45,140,1,no
41,351,0,no
56,112,0,no
42,303,0,no
39,44,0,no
39,837,0,yes
52,710,0,yes
56,126,0,no
34,1353,1,yes
28,83,1,no
25,157,0,no
32,216,0,no
54,164,0,yes
35,161,0,no
35,150,0,no
48,148,0,no
37,214,0,no
48,173,0,no
40,283,0,no
38,566,0,no
32,223,0,no
38,13,0,no
42,88,0,no
30,608,0,no
25,115,0,no
57,174,0,no
35,347,0,no
28,307,2,yes
36,111,0,no
49,112,0,no
20,184,0,yes
51,187,0,no
31,283,0,no
31,347,0,no
26,295,2,yes
30,59,0,no
28,97,0,no
36,239,0,no
50,178,0,no
21,154,0,no
47,487,0,yes
29,425,0,no
34,617,0,no
49,40,0,no
37,355,0,no
31,68,0,no
56,116,0,no
54,279,0,no
42,340,0,no
38,93,0,no
56,299,0,yes
49,549,0,no
31,7,0,no
56,163,0,no
62,64,0,no
55,163,1,no
45,29,0,no
94,134,1,no
45,323,0,yes
52,127,1,no
28,262,0,no
41,421,0,no
55,166,0,no
49,487,0,no
42,145,0,no
31,324,0,no
22,83,0,no
38,82,0,no
34,218,1,no
31,364,0,no
50,183,1,yes
36,59,0,no
41,364,0,no
56,252,0,no
35,420,0,no
67,350,2,yes
34,108,0,no
42,159,0,no
48,436,0,no
33,204,1,no
40,609,0,yes
57,101,0,no
24,74,0,no
39,100,0,no
39,541,0,no
36,251,0,no
35,88,0,no
35,136,0,no
28,23,1,no
41,81,0,no
46,160,0,no
55,188,0,no
35,76,0,yes
43,281,0,no
49,430,0,no
29,103,0,no
53,107,0,no
39,512,0,no
26,309,1,yes
52,938,0,yes
59,213,0,no
28,177,0,no
37,680,0,no
47,130,0,no
45,124,0,no
48,53,0,no
29,434,0,no
28,182,0,no
38,39,0,no
29,84,0,no
24,197,0,no
34,116,0,no
49,312,0,no
39,33,0,no
45,92,0,no
35,150,0,no
48,144,0,no
36,52,0,no
34,249,0,no
34,944,0,no
45,83,0,no
43,197,0,no
42,871,0,yes
31,149,0,no
29,23,1,no
34,387,0,no
38,226,0,no
44,238,0,no
32,2692,0,yes
46,338,0,no
34,484,0,no
28,185,0,no
63,87,0,no
44,174,0,no
20,342,0,no
29,35,0,no
31,78,0,no
39,125,0,yes
50,100,0,no
43,531,0,no
35,145,0,no
31,111,0,no
59,80,0,no
46,268,1,no
24,184,0,no
34,160,0,no
41,109,0,no
30,77,0,no
58,174,0,no
42,146,1,no
26,205,0,no
53,108,0,no
32,109,0,no
34,99,0,no
35,250,0,no
35,52,0,no
48,141,0,no
44,242,0,no
43,212,0,yes
25,173,1,no
29,258,0,no
32,491,0,no
42,256,0,no
22,82,0,no
25,460,0,yes
45,298,0,no
48,69,0,no
32,78,0,no
37,73,1,no
21,493,0,yes
39,452,0,no
56,359,0,no
31,953,0,no
33,26,0,no
32,143,0,no
44,216,0,no
33,148,0,no
67,70,0,no
31,146,3,no
34,114,0,no
46,388,1,no
57,374,0,no
47,930,0,no
40,69,0,no
33,730,0,no
39,466,0,no
34,462,0,no
30,447,0,yes
22,48,0,no
43,534,0,no
47,196,0,no
34,150,0,no
46,354,1,no
25,42,0,no
42,40,0,no
46,282,0,no
30,18,0,no
37,1339,0,no
57,44,0,no
34,439,0,no
41,113,0,no
31,239,0,no
38,445,0,no
54,48,0,no
57,73,0,no
55,395,0,no
44,254,0,no
29,76,0,no
43,487,0,no
36,187,1,no
38,606,0,yes
51,97,0,no
32,154,0,no
31,396,1,no
38,104,0,no
28,145,0,no
43,161,0,no
59,113,0,no
33,1088,0,yes
44,236,0,no
46,42,0,no
30,22,0,no
38,68,0,no
46,165,0,no
36,296,0,no
36,140,0,no
57,506,0,no
33,244,0,no
46,459,0,no
61,249,1,yes
59,136,0,no
32,1143,0,yes
33,353,1,no
40,107,0,no
28,161,0,no
52,795,0,no
48,115,0,no
36,66,0,no
33,225,1,no
43,335,0,no
45,148,0,no
30,265,0,no
37,356,0,no
57,7,0,no
47,71,0,no
30,275,0,no
40,265,0,no
56,282,0,no
33,199,1,no
45,19,0,no
33,94,0,no
22,166,0,yes
26,170,0,yes
44,445,0,no
22,47,0,no
39,75,0,no
52,79,0,no
36,719,0,no
40,255,0,no
34,49,1,no
54,65,0,no
33,144,0,no
51,172,0,no
28,346,0,no
39,97,0,no
40,231,0,no
27,170,0,no
40,255,0,no
51,653,0,yes
56,102,0,no
29,210,0,no
41,184,0,no
32,209,0,no
27,208,0,no
57,168,0,no
49,241,0,no
24,302,1,yes
49,297,0,no
54,298,0,no
44,126,0,no
28,198,0,yes
56,793,0,yes
47,463,0,no
49,114,0,no
38,25,0,no
36,76,0,no
33,432,0,no
35,244,1,no
32,543,0,yes
30,62,1,no
29,50,0,no
39,45,0,no
35,173,0,no
25,251,0,no
42,51,0,no
51,201,0,no
45,158,0,yes
28,126,1,no
26,251,0,yes
38,246,0,no
31,7,0,no
48,196,0,no
35,768,4,no
49,52,1,no
44,41,0,no
37,238,0,no
42,312,0,no
42,68,0,no
46,510,1,no
30,199,1,yes
55,772,0,no
26,785,0,yes
59,177,0,no
24,323,0,no
44,282,0,no
35,98,0,no
40,30,0,no
47,225,0,no
52,346,0,no
42,260,0,no
48,289,0,no
55,585,0,no
30,252,0,no
51,297,0,no
46,135,0,no
54,75,0,no
52,82,0,no
45,295,0,no
25,773,0,no
30,362,0,no
32,190,0,no
27,139,1,no
36,98,0,no
33,154,0,no
31,94,0,no
41,911,0,yes
75,120,0,no
33,358,0,no
42,191,0,no
28,568,0,no
43,24,0,no
28,321,0,no
53,513,1,yes
33,595,0,no
33,50,0,no
67,201,1,no
38,422,0,no
40,27,0,no
50,71,0,no
35,330,0,no
57,202,0,no
78,75,0,no
35,13,0,no
38,78,1,no
38,617,0,no
47,202,0,no
23,251,0,no
38,96,0,no
31,756,0,no
44,1,0,no
26,200,0,no
55,107,0,no
64,245,0,yes
37,135,0,no
41,219,0,no
36,90,0,no
44,223,1,no
24,160,0,no
52,73,0,no
69,411,0,no
34,247,0,no
34,274,0,no
50,133,0,no
36,112,0,no
56,63,0,no
37,85,0,no
34,300,0,no
45,829,0,no
35,228,0,no
28,160,1,no
64,159,0,no
39,122,0,no
33,157,0,no
58,69,0,no
27,184,1,yes
54,183,0,no
36,235,0,no
33,179,0,no
31,244,1,yes
34,359,0,no
57,412,0,no
28,411,0,yes
42,193,0,no
41,420,0,no
58,70,0,no
33,58,0,no
36,157,0,no
39,79,0,no
38,204,0,no
22,194,3,yes
33,119,3,no
35,75,1,no
39,65,0,no
51,174,0,no
48,112,0,no
50,162,0,no
36,84,0,no
41,9,0,no
68,220,1,no
34,431,0,no
70,91,1,yes
43,226,0,yes
22,814,1,no
49,254,0,no
29,48,0,no
30,87,0,no
44,11,0,no
47,93,0,no
28,90,0,no
60,253,0,no
46,152,0,no
41,317,0,no
39,73,0,no
36,68,0,no
37,293,0,no
41,124,0,no
44,122,0,no
59,437,0,no
43,181,0,no
30,775,0,yes
57,399,0,no
42,142,0,no
25,113,0,no
41,190,0,no
33,176,0,no
47,139,0,no
50,163,0,no
40,267,0,no
33,205,0,no
35,884,0,yes
40,245,0,no
33,154,0,no
55,77,0,no
34,800,0,no
56,221,0,no
35,15,0,no
32,462,0,no
46,575,0,yes
41,380,0,no
30,75,0,no
35,105,3,no
45,414,2,yes
54,207,0,no
46,243,0,no
50,77,1,no
35,36,0,no
35,14,0,no
45,216,0,no
55,1031,0,yes
40,180,0,no
65,161,1,yes
43,198,0,no
29,632,0,no
38,611,1,no
30,308,0,no
27,255,1,no
60,241,0,no
31,115,1,no
36,328,1,yes
31,113,0,no
30,90,0,no
45,101,0,no
27,435,0,no
42,141,0,no
58,265,0,no
34,1329,0,no
72,220,1,no
28,188,1,no
54,152,1,no
33,290,0,no
24,70,0,no
38,296,0,no
27,58,0,no
34,108,0,no
42,214,0,no
25,165,0,no
43,1500,0,yes
39,402,0,no
36,769,0,no
45,49,0,no
48,165,0,no
38,110,0,no
48,83,1,no
56,150,0,no
32,213,0,no
44,805,0,yes
53,421,0,yes
50,278,1,yes
38,17,0,no
44,134,1,no
32,160,0,no
57,65,0,no
35,192,1,yes
52,150,0,no
47,22,0,no
41,92,0,no
43,170,0,no
54,2870,0,no
33,498,1,no
31,219,0,no
47,91,0,no
35,43,2,no
40,314,0,no
59,464,0,no
32,103,0,no
57,1044,0,yes
59,92,0,no
78,173,1,yes
39,129,0,no
52,553,0,no
36,314,0,no
57,193,0,no
48,55,0,no
31,569,0,no
36,199,1,no
36,424,0,no
37,216,0,no
57,72,0,no
67,300,0,no
40,304,0,no
41,663,0,yes
30,167,0,no
30,385,0,yes
38,192,0,no
27,43,0,no
39,77,0,no
55,361,0,no
37,318,0,no
41,530,0,no
32,205,0,no
49,474,0,no
36,21,0,no
62,563,3,yes
31,151,0,no
47,142,1,no
28,261,1,yes
39,15,0,no
52,97,0,no
54,167,0,no
39,580,0,no
57,190,0,no
33,144,0,no
36,191,1,no
53,864,0,yes
34,332,0,no
53,76,0,no
36,81,0,no
46,118,0,no
24,209,0,yes
45,133,0,no
30,160,0,no
34,196,0,no
35,986,3,no
30,1206,0,no
41,273,0,no
32,1271,0,no
54,388,0,no
41,157,0,no
31,246,0,no
40,66,0,no
44,166,0,no
52,77,0,no
32,86,0,no
30,265,0,no
36,187,0,no
54,19,0,no
42,227,0,no
48,174,0,no
66,267,0,yes
28,663,0,no
45,234,0,no
30,70,0,no
34,92,0,no
23,28,0,no
35,313,0,no
39,620,0,yes
31,85,0,no
55,142,0,no
40,183,0,no
59,905,0,yes
18,642,0,yes
28,63,0,no
25,126,0,no
32,73,0,no
40,121,1,no
28,861,0,no
38,114,0,no
43,613,0,no
27,83,0,no
37,106,0,no
51,212,0,no
52,79,0,no
49,270,0,no
39,264,0,no
36,345,0,no
39,216,0,no
39,126,0,no
28,437,0,no
47,183,0,no
49,268,0,no
33,211,0,no
33,210,0,no
37,280,0,no
28,124,0,no
39,410,0,no
41,92,0,no
38,114,0,no
48,115,0,no
53,383,0,no
38,250,0,no
54,266,0,no
28,419,0,no
45,116,0,no
44,562,0,no
33,118,1,no
45,440,0,no
41,462,0,no
33,208,0,no
41,280,0,no
38,49,0,no
48,361,0,no
28,156,0,no
53,559,0,no
48,215,0,no
47,87,0,no
32,165,0,no
54,112,0,no
49,90,0,no
25,467,0,no
35,183,0,no
51,11,0,no
64,368,0,yes
49,1036,0,no
48,313,2,no
56,91,0,no
34,225,0,no
50,12,0,no
49,144,0,no
34,104,1,no
33,282,0,no
41,434,1,no
35,72,0,no
42,56,0,no
41,243,0,no
31,136,1,no
53,223,0,no
54,129,0,no
36,159,0,no
36,160,0,no
27,311,0,no
35,61,0,no
27,292,0,no
24,240,0,no
43,73,0,no
35,440,0,no
33,16,0,no
38,204,0,no
39,75,1,no
57,305,0,no
39,125,0,no
39,127,0,no
31,364,0,no
40,227,0,no
30,155,1,no
44,145,0,no
48,116,0,no
33,61,0,no
32,168,0,no
36,260,0,no
32,206,1,no
53,116,0,no
27,284,1,no
26,685,0,no
25,456,2,yes
45,215,0,no
32,163,0,no
27,64,0,no
29,171,0,no
29,337,0,no
28,484,0,no
49,163,0,no
35,222,0,no
56,363,3,yes
35,419,2,no
47,136,0,no
37,314,1,no
74,239,1,no
57,41,0,no
28,52,0,no
41,408,0,no
42,172,0,no
39,60,0,no
24,141,0,no
55,252,0,no
37,191,0,no
54,159,1,no
29,329,1,no
37,52,0,no
39,254,0,no
31,110,0,no
50,192,0,no
40,56,0,no
59,142,0,no
32,152,1,no
38,744,0,no
41,123,0,no
39,58,0,no
46,716,0,no
45,190,0,no
43,147,0,no
54,77,0,no
59,242,0,no
32,77,0,no
49,121,0,no
38,90,0,no
51,227,0,no
32,62,1,no
59,701,0,yes
32,195,0,no
27,232,0,no
19,159,0,no
30,156,2,no
38,60,0,no
28,771,0,yes
44,231,0,no
35,253,1,no
31,212,0,no
56,213,0,no
37,215,0,no
36,442,0,no
36,150,0,no
52,305,0,no
29,145,0,no
29,1089,0,no
37,928,0,no
52,406,1,yes
41,120,0,no
44,536,0,no
44,86,0,no
36,66,0,no
46,134,0,no
44,120,1,no
41,686,0,no
38,706,0,no
42,89,0,no
55,72,0,no
25,120,0,no
38,148,2,no
30,86,0,no
39,231,0,no
33,199,0,no
50,143,0,no
55,211,0,no
25,100,1,no
26,676,0,no
44,407,0,no
30,92,0,no
59,367,0,no
39,173,0,no
36,276,0,no
34,145,0,no
57,100,0,no
48,12,0,no
31,91,1,no
54,159,0,no
59,2187,0,no
38,855,1,yes
55,525,0,no
32,122,0,no
37,57,0,no
31,69,0,no
60,1602,0,yes
34,58,0,no
35,40,0,no
55,134,0,no
24,127,0,no
45,608,0,yes
60,187,0,no
43,37,0,no
44,212,0,no
23,56,0,no
38,292,0,no
48,50,0,no
41,639,0,no
41,396,0,no
34,118,0,no
33,738,0,yes
50,108,0,no
52,304,0,no
45,173,0,no
27,71,0,no
30,359,0,no
46,386,0,no
47,106,0,no
54,138,0,no
39,211,0,no
31,212,0,no
46,221,1,no
42,72,0,no
38,362,0,no
29,82,0,no
35,826,0,no
56,83,1,no
56,95,0,no
60,420,0,no
33,15,0,no
36,158,0,no
60,165,0,no
24,84,0,no
47,298,0,no
40,807,0,no
49,589,0,no
57,115,0,no
25,147,0,no
51,148,0,no
30,547,0,no
34,192,0,no
35,236,0,no
45,121,0,no
50,93,0,no
34,132,0,no
41,202,0,no
34,393,0,yes
23,408,0,no
48,228,1,no
44,245,0,no
31,129,0,no
31,92,0,no
47,139,0,no
37,232,0,no
38,55,0,no
30,406,0,no
36,105,1,no
30,170,0,no
32,159,0,no
47,194,0,no
26,418,0,no
24,209,0,yes
55,82,0,no
55,63,0,no
51,109,0,no
29,78,0,no
51,145,0,no
25,426,0,no
39,183,0,no
27,201,0,no
28,242,0,no
29,141,0,no
80,378,0,no
48,709,0,yes
35,560,0,yes
39,242,0,no
51,50,0,no
38,117,0,no
41,163,1,no
31,49,0,no
33,144,1,no
34,300,1,yes
32,11,0,no
52,91,0,no
37,37,0,no
43,663,0,yes
54,66,0,no
35,10,0,no
32,202,0,no
33,75,0,no
50,108,0,no
36,93,0,no
46,66,0,no
33,483,0,no
40,145,0,no
45,87,0,no
39,123,0,no
40,181,0,no
50,162,0,no
46,515,0,no
38,468,0,no
33,319,0,no
65,201,1,no
29,189,0,no
31,81,0,no
29,110,0,no
54,200,0,no
42,220,0,no
43,174,0,no
29,173,0,no
33,285,0,no
43,127,0,no
52,77,0,no
31,108,0,no
41,343,0,no
36,316,0,no
28,549,0,no
27,41,1,no
46,984,1,yes
28,202,0,no
27,240,0,no
75,248,3,yes
51,47,0,no
33,239,0,no
51,93,1,no
30,70,0,no
43,1395,0,yes
48,144,0,no
32,258,0,no
38,140,0,no
29,760,0,yes
30,216,0,no
34,414,0,no
30,76,0,no
34,134,3,no
42,125,0,no
33,217,0,yes
62,123,1,no
35,71,0,no
57,720,0,yes
36,329,0,no
34,243,0,no
51,87,0,no
43,119,0,no
44,68,0,no
26,201,0,no
45,50,0,no
32,128,0,no
49,87,0,no
47,235,0,no
42,181,0,no
59,35,0,no
39,64,0,no
50,223,0,no
28,139,0,no
51,280,0,no
29,299,0,no
57,113,0,no
36,97,0,no
26,163,1,yes
36,262,0,no
43,408,1,no
28,125,0,no
33,222,2,no
32,261,0,no
59,249,0,no
32,186,0,no
58,81,0,no
49,69,0,no
41,129,0,no
50,119,0,no
37,344,0,no
56,369,0,no
40,358,0,no
29,342,1,no
32,330,0,no
32,172,0,no
59,259,1,yes
35,50,0,no
30,112,0,no
37,179,1,yes
30,151,1,no
44,289,0,no
37,224,0,no
51,248,0,no
36,121,0,no
30,26,0,no
70,399,0,no
30,71,0,no
36,111,0,no
32,311,1,yes
36,227,0,no
30,159,0,no
32,133,0,no
38,36,0,no
39,411,0,no
30,329,0,no
35,1262,0,yes
22,777,0,no
34,379,0,no
33,233,0,no
27,167,0,no
41,343,0,no
44,139,0,no
42,336,0,no
37,327,0,no
43,272,0,no
49,107,0,no
26,56,0,no
37,128,0,no
47,184,0,no
57,302,0,no
46,140,0,no
28,55,0,no
42,347,0,no
52,182,0,no
36,152,0,no
40,50,0,no
49,786,0,no
35,293,1,yes
33,371,0,no
32,718,0,no
35,855,0,no
41,111,0,no
58,249,0,no
26,688,0,yes
37,292,0,no
42,179,0,no
26,127,0,no
75,109,1,yes
44,895,0,yes
39,257,0,no
48,506,0,no
37,228,0,no
43,112,0,no
26,200,1,no
49,37,1,no
39,123,0,no
35,633,0,no
26,75,1,no
52,283,0,no
49,81,0,no
36,110,0,no
37,602,1,yes
52,610,0,no
45,369,0,no
34,98,0,no
34,360,0,no
27,234,0,no
46,91,1,no
30,345,0,no
52,134,0,no
48,112,1,no
49,439,0,no
50,968,0,no
25,516,2,yes
29,53,0,no
35,536,1,no
39,178,0,no
35,222,1,no
35,506,0,no
44,112,0,no
38,361,0,no
37,481,0,no
49,204,0,no
29,462,1,no
54,215,0,yes
38,241,0,no
44,72,0,no
46,328,0,no
53,659,0,yes
48,239,0,no
53,85,0,no
30,98,2,yes
36,184,0,no
45,164,0,yes
30,283,0,no
40,104,0,no
39,216,0,no
32,67,0,no
31,73,0,no
31,108,0,no
36,55,0,no
40,128,0,no
41,677,0,no
29,210,0,no
34,1190,0,yes
41,12,1,no
42,123,0,no
30,214,0,yes
41,653,0,no
43,116,0,no
49,259,0,no
31,350,0,no
40,148,0,no
45,135,0,no
44,299,0,no
43,380,0,no
37,211,0,no
24,304,0,no
56,156,0,no
33,449,0,yes
40,140,1,no
50,152,0,no
43,34,0,no
42,113,0,no
35,471,0,no
36,302,0,no
30,115,0,no
29,178,1,no
27,155,0,no
40,239,1,no
43,119,0,no
48,274,0,no
50,73,0,no
38,1065,0,no
44,50,0,no
36,65,0,no
54,164,0,no
45,174,1,no
47,267,3,no
41,66,0,no
53,600,0,no
42,65,0,no
24,223,0,no
36,284,1,yes
37,612,0,no
30,254,0,no
31,257,0,no
44,206,0,no
56,139,0,no
28,143,0,no
54,343,0,no
39,260,0,no
43,337,0,no
48,118,0,no
44,219,0,no
42,71,0,no
33,172,0,no
51,250,0,no
32,121,0,no
33,33,1,no
60,278,0,no
35,85,0,no
37,179,0,no
43,130,0,no
27,459,1,no
42,22,0,no
47,175,0,no
35,76,0,no
29,215,0,no
35,394,0,no
38,70,0,no
48,730,0,no
51,305,0,no
40,135,0,no
38,137,0,yes
27,41,0,no
41,64,0,no
71,214,1,no
34,161,2,no
37,18,0,no
43,880,0,yes
47,96,0,no
43,157,0,no
35,285,0,no
42,588,0,no
30,87,1,no
35,170,0,no
43,267,0,no
29,1007,0,yes
38,71,0,no
28,116,0,no
37,235,0,no
34,206,0,no
36,530,0,yes
51,343,0,no
36,122,0,no
32,127,0,no
50,208,5,no
32,248,0,no
32,425,0,no
36,389,0,no
52,31,0,no
64,104,2,yes
40,262,0,no
34,195,0,no
53,169,1,no
28,123,0,no
51,129,0,no
34,146,0,no
39,112,0,no
32,171,0,no
33,82,0,no
45,249,0,no
36,214,0,no
30,355,0,no
54,700,0,no
40,245,0,no
57,277,2,yes
30,88,0,no
36,131,0,no
36,269,0,no
54,47,0,no
34,15,0,no
56,323,1,yes
49,63,0,no
33,247,0,no
54,196,0,no
46,563,0,no
45,43,0,no
40,392,0,no
42,919,0,no
36,265,0,no
31,289,0,no
32,87,0,no
59,211,0,no
38,63,0,no
28,392,0,yes
39,162,0,no
52,401,0,no
38,152,0,no
27,212,0,no
47,182,1,yes
57,93,0,no
37,148,0,no
40,222,1,no
22,699,1,no
20,42,0,no
59,416,0,no
21,203,0,yes
41,253,0,no
88,180,0,no
57,134,0,no
31,111,0,no
78,218,2,no
43,172,0,no
42,86,1,no
28,109,0,no
41,345,0,no
33,52,0,no
47,139,0,no
33,213,0,no
34,562,0,yes
41,45,0,no
41,391,1,yes
47,159,0,no
35,197,0,no
42,633,0,no
48,174,0,no
34,131,0,no
33,32,0,no
60,338,0,no
30,25,0,no
47,132,0,no
34,221,0,no
40,48,0,no
50,124,0,no
26,271,1,yes
51,108,0,no
34,110,0,no
55,141,0,no
31,203,2,yes
46,113,0,no
31,196,0,no
