Helpful,StarRatings,Tags,Days,Textual Messages,ID,,Number
4 of 4 people found the following review helpful,5,http://www.amazon.com/gp/review/R1AAEFGQ8LF5Q7/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on August 14, 2014","I’ve been an iPhone user for as long as I can remember. Ever since its first release, I’ve been a solid iPhone fanboy. But it all changed with the release of the Samsung Galaxy S5. Every single feature in this phone is perfection to my eyes. I’m a professional photographer, but there are times when I travel that I don’t feel like lugging my camera gear around. Luckily, the Samsung Galaxy S5’s camera provides just what I need. It’s lightweight, high-megapixel camera is perfect for those who just want to shoot whatever strikes them fancy.",william curran,Samsung_S5,11
9 of 11 people found the following review helpful,1,http://www.amazon.com/gp/review/R3LC2NK777156G/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on July 26, 2014",i bought this cell phone and it said its factory unlocked and when i gave this as a gift to a friend overseas he coulden't use it and i paid more money cause to ship it to him i'm very dissapointed. i bought 2 of them and same problem,Abdulaziz AL-Dossari,Samsung_S5,12
28 of 38 people found the following review helpful,1,http://www.amazon.com/gp/review/R1F9XSAJRVSECG/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on June 16, 2014",Neither Verizon nor Samsung will truly stand behind this phone! Do not believe the ad that says it is water RESISTANT for up to 3 ft for 30 minutes. Accidently dropped one in 1 inch of water for 2 seconds and it does not work. Neither Verizon nor Samsung will stand behind this phone and replace it for free. If the phone were truly Water RESISTANT as the ads and paperwork state it should have survived this accident! Does not charge and is glitching. This phone was in an OtterBox case and the USB port cover was secure and back on. Had the phone 3 weeks. Verry Angry!!,Amazon Customer,Samsung_S5,13
3 of 3 people found the following review helpful,5,http://www.amazon.com/gp/review/RU3V2ZEKFKIGT/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on July 22, 2014","Embarrassingly, here is the list of phones that I've owned (that I can remember): Samsung Galaxy s5 iPhone 5S Samsung Note 3 Samsung Galaxy s4 Blackberry Bold Blackberry Curve Nokia E6 Nokia X2 iPhone 3GS iPhone 3G Nokia 1100 And many more that I can't remember. So I love Apple Computers, and the last decade has been marked by a love and hate relationship with the Apple ecosystem. I think the iPad is a great device (and I DON'T like the Galaxy line of tablets). I really enjoy MacBooks in all sizes and shapes. But the iPhone stopped evolving with the 3GS, and they are now playing catch up with Samsung. The s5 is the game changer. I have been using this phone for a month now and can, without hesitancy, say that this is the best phone on the market. In addition, it is actually cheaper than the iPhone 5S! The speed, the beautiful photography, the performance, the sound - everything is better. The iPhone 5S was a bit clunky and would sometimes randomly scroll on its own. This phone doesn't do that. It is seamless. STEVE JOBS would have preferred this phone. In addition to all the other additions, this phone is indestructable. It can withstand dust storms, rain storms, etc. I have to deal a lot of this as a development worker in Africa. This phone can take it all.","Douglas J. La Rose ""Douglas""",Samsung_S5,14
6 of 7 people found the following review helpful,3,http://www.amazon.com/gp/review/RE4BCT4OL4G8T/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on June 28, 2014",Since day one I've had trouble with receiving signal on my phone. I have t-mobile which the signal itself kind of sucks but with this phone I have almost one bar of signal and have to go outside or leave it still in order to get my messages or phone calls. Anyone else experiencing this problem?,Elvia Camargo,Samsung_S5,15
6 of 7 people found the following review helpful,1,http://www.amazon.com/gp/review/RX1Q8T85QUR4W/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on August 21, 2014","Dont buy from this dealer. Phone worked fine for two months and suddenly the screen went blank. Item was returned and given only a partial refund with $120.00 + charged for ""restocking fee"". My suggestion find a different source to access this phone.",Amazon Customer,Samsung_S5,16
3 of 3 people found the following review helpful,3,http://www.amazon.com/gp/review/R6MBTBREL6Q5F/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on September 29, 2014","Well, the s5 is an awesome phone..... until you run into problems. Only thing is with THIS particular phone is that (after many phone calls and transfers), I was informed it was a Nigerian Samsung phone.... to handled by Samsung Nigeria (their customer support number is 0860 726 786). So in order to get my wifi connection problem addressed, i would have to contact them. I did via Google Voice ( 5 cents/minute btw).They speak English (yay!) but still, ridiculous situation. Had I known that dang phone was Nigerian from the get go I would have NEVER, EVER bought it. That was something that should have been mentioned in the product description.",Andi,Samsung_S5,17
11 of 14 people found the following review helpful,4,http://www.amazon.com/gp/review/R2AGRMY774W6OD/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on June 13, 2014","phone works perfectly , very big screen , very slim .... but didnt get the real s5 cable...does not support 4g....",Al Muksit,Samsung_S5,18
3 of 3 people found the following review helpful,1,http://www.amazon.com/gp/review/R33KGSNJXM3XET/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on August 11, 2014","It doesn't work. I took it to an Israeli mobile phone company, to the Samsung rep and to private store. All said it is not new and that it they are not willing to fix it. What is the procedure to return it for a full refund or replacement for a really new one? Thanks, Rami Holtzman Very disappointing customer!",Rami Holtzman,Samsung_S5,19
3 of 3 people found the following review helpful,5,http://www.amazon.com/gp/review/R2VFN4MS7X4303/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on September 21, 2014","this phone is absolutely amazing in every regard. Screen is awesome, big, resolution is great, tv and videos look phenomenal. The camera is the best i have ever had. The touchscreen is great. Battery is way better than all my past Iphones. sound is awesome - u basically don't need separate speakers bc music is sufficiently loud.","Cathryn ""Cathryn""",Samsung_S5,20
9 of 12 people found the following review helpful,5,http://www.amazon.com/gp/review/R23JNN7USD7ECT/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on June 17, 2014",It's a great phone. It's probably a little bigger than of what I was used to but the camera is great and all the other specifications. It is super slim and not heavy. With the unlocked I had at first problems to activate it due to an employee at a store that didn't want to activate it so he told me that my phone was probably not unlocked so I contacted the seller and they were there all the time to help me. Finally I tried in another place and it works perfect. I'm so pleased with this buy.,Annihe Urizar,Samsung_S5,21
2 of 2 people found the following review helpful,4,http://www.amazon.com/gp/review/R3LY50WENDLAL7/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on July 3, 2014","The phone is great but I'm not so please with the charger I got with it. The usb I got wasn't the genuine s5 USB, it didn't have the broader section where you plug into the phone. It was like an s4 USB. Also the charger adapter in which u plug the USB in wasn't the one I wasn't the one I was expecting either. I was unable to plug the adapter in a wall outlet. I had to buy an additional section to plug onto the adapter so I can plug it into the wall to charge. Maybe this was described in the description of this product but I wasn't aware of it. Overall tho I love the phone.",Jonoi Ramsay,Samsung_S5,22
4 of 5 people found the following review helpful,5,http://www.amazon.com/gp/review/R2Z7FJ0UQL8IYB/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on June 26, 2014","We use Straight Talk in the US and therefore we need to buy our phones outright. Keep in mind, that since this is the international version it doesn't have LTE capabilities, but it does have HSPA+. It also didn't come with the charging cable that people who buy at AT&T or Verizon get, it just had a standard MicroUSB charging cable. If you get the USB 3.0 charging cable, your phone will charge much faster. Also, due to being an international version, there is no phone company branded software built into the phone.",James F. Shinevar,Samsung_S5,23
2 of 2 people found the following review helpful,3,http://www.amazon.com/gp/review/R386SEI5YO29KT/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on August 19, 2014","Pro 1. Well designed with curved edge 2. I like the white color 3. The large screen is very enjoyable 4. The in-bake apps are great Con 1. The price is comparably high compared to its specification 2. The home key is not round, thus it feels a bit weird",Shun Liang,Samsung_S5,24
2 of 2 people found the following review helpful,3,http://www.amazon.com/gp/review/R10GU6EJT31B4X/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on November 10, 2014",The cellphone works properly. But it has problem with its cover. It doesn't seat correctly on all the places. There is a small space between the cover and the phone even when the cover it is in perfect conditions and also the phone. You can see it in the picture,Christian Garces,Samsung_S5,25
2 of 2 people found the following review helpful,3,http://www.amazon.com/gp/review/R3649UMQNJ230Q/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on August 10, 2014",Dosent have all features like the Smart screen with the eye movement. Although it works perfectly the sides feel cheap and the screen gets greasy quickly but that's samsungs problem not this seller. Recommend to buy from company like t mobile.,Soufiane Badri,Samsung_S5,26
2 of 2 people found the following review helpful,1,http://www.amazon.com/gp/review/R1B2HYQ9L67HSD/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on October 6, 2014",THIS IS NOT A REAL S5. WARNING. I took this phone to best buy and they look at it and said that is a knock off. I almost brought an iPhone 6 because of this crap but I glad to know that is one is a FAKE and is not unlocked worst gift ever,Phone Checkers,Samsung_S5,27
2 of 2 people found the following review helpful,4,http://www.amazon.com/gp/review/R2DO0WK5XMTBFF/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on September 21, 2014","The phone is awesome, much better than the iPhone, but the delivery was awful, I paid to have it delivered by Saturday and didn't get my phone until Monday.",jesus,Samsung_S5,28
1 of 1 people found the following review helpful,2,http://www.amazon.com/gp/review/R2JHPHO13GXE/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on August 30, 2014","While a very nice phone, I have found that they are very fragile. My wife and I each got one and put them in cases. The life proof case on my wife's and a mobi on my own. Mine lasted until it was dropped and the LCD tochpad broke. My iPhone 4S has lasted without a cases for 3 and a half years. I have dropped it several times with much more impact and it has never broke. My wife's Samsung lasted about 9 months and it had some type of overheating-hardware-charging issue that I guess is common. Although under warranty, Samsung claimed that my wife ( who only uses phones for calling, texting and pictures) had unlocked the phone and rooted the firmware. They needed $300 to fix the phone. I like android, but unless you want to pay the insurance, there are more durable android phones on the market.",jerico,Samsung_S5,29
1 of 1 people found the following review helpful,5,http://www.amazon.com/gp/review/R2PRV7I094ZUKK/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on November 12, 2014","..but this phone convince me that, at this point, Samsung overwhelm iPhone's devices. The water resistant feature is essential, for God sake we are in 2014 and still with phones that can't submerge in WATER? So, I love this phone. Camera is AWESOME, screen has a really nice definition and resolution, device really handles Android OS so it's quite fast if you don't start to download stuff like launchers. I had the Samsung S4 after using iPhone's and Blackberry's motherships at that time and I fell inlove immediately of Samsung and it's devices. Of course, Android is quite slower than iPhone or even Blackberry, but that brands also has disadvantages. I recommend it, 100%.",Alan PS,Samsung_S5,30
1 of 1 people found the following review helpful,4,http://www.amazon.com/gp/review/R2X8HSF6H0RRXG/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on November 2, 2014","I love my phone. I left the world of contracts with cell phone providers and went to Straight Talk and this device work great! The features that this telephone offers are tremendous, I especially like the NFC feature to use with 'tap to pay' using Google Wallet. Before this phone, I had an iPhone 5C, and compared to that, this phone has so much more to offer. The one and only problem I have encountered with this phone is that sometimes the screen won't come on when I try to wake the telephone up to use. Other than that, I would recommend it for anyone wanting a smart phone that is user friendly, has great features and is unlocked to use on any carrier you choose.",Michael T.,Samsung_S5,31
2 of 2 people found the following review helpful,1,http://www.amazon.com/gp/review/R3CVP64YWY5FX9/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on November 3, 2014","el telf q compre no fue el enviado, me enviaron uno q no llega ni a sansun 1 ni sansun es",heberto leal,Samsung_S5,32
2 of 2 people found the following review helpful,5,http://www.amazon.com/gp/review/R3MM05ZQHA7HCJ/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on October 1, 2014",Great phone. Once you try Galaxy you wonder why you spent so much money on apple.,Claudia Cesar de Sousa Neri,Samsung_S5,33
2 of 2 people found the following review helpful,5,http://www.amazon.com/gp/review/RPMDN5JI667TV/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on September 20, 2014",Exellent phone with no problems. I've used it in two different countries already.,jimmy montero,Samsung_S5,34
2 of 2 people found the following review helpful,5,http://www.amazon.com/gp/review/R30L37Q2IKB7PR/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on September 25, 2014",The best Phone I have owned.. IPhone dont even compare to this wonder! :O),"VOLVO13 ""Volvo Man""",Samsung_S5,35
1 of 1 people found the following review helpful,5,http://www.amazon.com/gp/review/RZ9OZR3P5AODR/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on September 9, 2014","I was giving myself so much time to look for a phone in replacement of my Samsung S3. I was searching on malls and I saw the Samsung S5. I have seen good feedback about it and decided to give it a try. At first, it was very hard to use since you'll a lot of stuffs popping out of the screen which is a little frustrating. But, the Camera is great! I have already found a Samsung that has decent camera. The 16mp is really great. It is the best phone camera I've ever had and it is all worth it.",Joan Lee,Samsung_S5,36
3 of 4 people found the following review helpful,1,http://www.amazon.com/gp/review/R13MVDV0BSNZBP/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on July 24, 2014",Received Samsung Galaxy S5 on July 18 2014 after 100% charge the battery only lasted 5 hours at idle also constant warning Check Battery Cover when in fact the cover is secure. Samsung support refuses support since the IMEI number cannot be identified by Samsung Support. I tried to get support from Wireless Everything but they do not respond. Bad product and worse support all around. Looking at LG G3 now which seems a much better cellular telephone with much better specifications and hopefully at least responsive support if needed.,Jim,Samsung_S5,37
1 of 1 people found the following review helpful,5,http://www.amazon.com/gp/review/R3NI27RIIXFXX9/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on November 15, 2014","This product met all of my expectations and more. This Samsung Galaxy S5 is the best phone to get right now, it has alot of cool feature you`ll love and the battery last long. The battery usually last me for nearly 2 days. Phone is fast and responsive. Bought the following to protect the phone http://www.amazon.com/gp/product/B00I3UWGJW/ref=as_li_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=B00I3UWGJW&linkCode=as2&tag=justckem-20&linkId=A66AS2AXKZDPGHMD",Amazon Fan,Samsung_S5,38
1 of 1 people found the following review helpful,5,http://www.amazon.com/gp/review/R3NM8QONGRPCEO/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on June 29, 2014","I received the phone before the estimated delivery date. It was exactly what I expected to receive based on the description listed. My only issue with the phone is the battery life even while in power saver mode, it really burns through the power! To the phone's credit, I've been using it far more often than usual while trying to get a feel for it. All in all, great purchase!",AuntNicki,Samsung_S5,39
1 of 1 people found the following review helpful,5,http://www.amazon.com/gp/review/R1KKP905SJJBGQ/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on September 29, 2014","Best phone I have ever used. The screen resolution is second to none and the size allows for easy viewing without being too big. I jumped ship from my old iphone4. I was holding out that the iphone6 would bring something great, but its all hipster hype now, nothing revolutionary anymore with those, so I am glad i switched and got the S5.",Guadalupe K.,Samsung_S5,40
1 of 1 people found the following review helpful,2,http://www.amazon.com/gp/review/R25Y74O7IQ2UXV/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on July 6, 2014","with a 16 MPX camera I was expecting something much better than what I got with this phone. Anyone considering buying a Samsung Galaxy S5, I would recommand to check the Samsung Galaxy S5 K Zoom first. That's what I'm using now. same specs and an excellent phone camera ! Perfect !!",sel2mer,Samsung_S5,41
3 of 4 people found the following review helpful,1,http://www.amazon.com/gp/review/R33EF233O64YOT/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on July 15, 2014",First of all the phone says it must be activated in Saudi Arabia or one of these middle eastern countries. The phone is region locked. I have tried three different unlocking agencies and no help. The folks sell g this phone knew there was no way for me to get this phone to work properly. Poor poor service.,isali,Samsung_S5,42
1 of 1 people found the following review helpful,3,http://www.amazon.com/gp/review/R2YTH90I3VO3J2/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on August 19, 2014","I really do like the S5, but be super skeptical of that water resistant claim. I dropped mine in water for a few seconds and it totally fried it. Back was on, charging port was closed. Very disappointed, and out a lot of money.",Stephanie Youngblood,Samsung_S5,43
1 of 1 people found the following review helpful,5,http://www.amazon.com/gp/review/R3FB62S5XCJA6A/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on August 7, 2014","This Samsung Galaxy S5 is the best phone to get right now, it has alot of cool feature you`ll love and the battery last long. I use it at work and by afternoon depending on long I use it for, I still have 70% left.",Hallam,Samsung_S5,44
